span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename	filename_positive	filename_certain
norte de italia	TERRITORIO	1	0.5	1	norte de italia			norte de Italia	norte de italia	32196627_ES	32196627_ES	32196627_ES
marroquí	ID-SUJETO-ASISTENCIA	1	0.5	1	marroquí			marroquí	marroqui	32588185_ES	32588185_ES	32588185_ES
manaus	TERRITORIO	1	0.5	1	manaus			Manaus	manaus	32638890_ES	32638890_ES	32638890_ES
malasia	PAIS	1	0.5	1	malasio	223591005	C0024552	Malasia	malasia	32232784_ES	32232784_ES	32232784_ES
lombardía	TERRITORIO	1	0.5	1	lombardía			Lombardía	lombardia	32593338_ES	32593338_ES	32593338_ES
la lombardía	TERRITORIO	1	0.5	1	el lombardía			la Lombardía	la lombardia	32275347_ES	32275347_ES	32275347_ES
junio	FECHAS	1	0.5	1	junio			junio	junio	32585767_ES	32585767_ES	32585767_ES
julio de 2018	FECHAS	1	0.5	1	julio de 2018			julio de 2018	julio de 2018	32553608­B_ES	32553608­B_ES	32553608­B_ES
irvine	TERRITORIO	1	0.5	1	irvine			Irvine	irvine	32585767_ES	32585767_ES	32585767_ES
hospital universitario de guadalupe	HOSPITAL	1	0.5	1	hospital universitario de guadalupe			Hospital Universitario de Guadalupe	hospital universitario de guadalupe	32414534_ES	32414534_ES	32414534_ES
hospital universitario de amiens	HOSPITAL	1	0.5	1	hospital universitario de amiens			Hospital Universitario de Amiens	hospital universitario de amiens	32594151_ES	32594151_ES	32594151_ES
hospital universitario de aarhus	HOSPITAL	1	0.5	1	hospital universitario de aarhus			hospital universitario de Aarhus	hospital universitario de aarhus	32619798_ES	32619798_ES	32619798_ES
hospital tingji	HOSPITAL	1	0.5	1	hospital tingji			Hospital Tingji	hospital tingji	32161941_ES	32161941_ES	32161941_ES
hospital provincial de hunan	HOSPITAL	1	0.5	1	hospital provincial de hunan			Hospital Provincial de Hunan	hospital provincial de hunan	32174057_ES	32174057_ES	32174057_ES
hospital popular de zhengzhou	HOSPITAL	1	0.5	1	hospital popular de zhengzhou			Hospital Popular de Zhengzhou	hospital popular de zhengzhou	32165205_ES	32165205_ES	32165205_ES
hospital popular de wuwei	HOSPITAL	1	0.5	1	hospital popular de wuwei			Hospital Popular de Wuwei	hospital popular de wuwei	32073161_ES	32073161_ES	32073161_ES
hospital policlínico para covid	HOSPITAL	1	0.5	1	hospital policlínico para covid			Hospital Policlínico para COVID	hospital policlinico para covid	32415334_ES	32415334_ES	32415334_ES
hospital policlínico de bari	HOSPITAL	1	0.5	1	hospital policlínico de bari			Hospital Policlínico de Bari	hospital policlinico de bari	32415334_ES	32415334_ES	32415334_ES
hospital maternoinfantil de la provincia de hubei	HOSPITAL	1	0.5	1	hospital maternoinfantil de el provincia de hubei			Hospital Maternoinfantil de la provincia de Hubei	hospital maternoinfantil de la provincia de hubei	32292053_ES	32292053_ES	32292053_ES
hospital e pronto-socorro delphina rinaldi abdel aziz	HOSPITAL	1	0.5	1	hospital y pronto-socorro delphina rinaldi abdel aziz			Hospital e Pronto-Socorro Delphina Rinaldi Abdel Aziz	hospital e prontosocorro delphina rinaldi abdel aziz	32638890_ES	32638890_ES	32638890_ES
hospital de luohe	HOSPITAL	1	0.5	1	hospital de luohe			Hospital de Luohe	hospital de luohe	32165205_ES	32165205_ES	32165205_ES
hospital de la fundación jiménez díaz	HOSPITAL	1	0.5	1	hospital de el fundación jiménez díaz			Hospital de la Fundación Jiménez Díaz	hospital de la fundacion jimenez diaz	32585767_ES	32585767_ES	32585767_ES
hospital de la cruz roja japonesa de narita	HOSPITAL	1	0.5	1	hospital de el cruz rojo japonés de narita			Hospital de la Cruz Roja Japonesa de Narita	hospital de la cruz roja japonesa de narita	32238024_ES	32238024_ES	32238024_ES
hangzhou	TERRITORIO	1	0.5	1	hangzhou			Hangzhou	hangzhou	32232784_ES	32232784_ES	32232784_ES
guinea	PAIS	1	0.5	1	guineo			Guinea	guinea	32631646_ES	32631646_ES	32631646_ES
francesas	PAIS	1	0.5	1	francés			francesas	francesas	32414534_ES	32414534_ES	32414534_ES
estrasburgo	TERRITORIO	1	0.5	1	estrasburgo			Estrasburgo	estrasburgo	32623310_ES	32623310_ES	32623310_ES
españa	PAIS	1	0.5	1	españa	223680008	C0037747	España	espana	32631646_ES	32631646_ES	32631646_ES
escocia	PAIS	1	0.5	1	escocia	223678002	C0036453	Escocia	escocia	32205138_ES	32205138_ES	32205138_ES
ecuatorial	PAIS	1	0.5	1	ecuatorial			Ecuatorial	ecuatorial	32631646_ES	32631646_ES	32631646_ES
del Sur	TERRITORIO	1	0.5	1	de+el sur			del Sur	del Sur	32222713_ES	32222713_ES	32222713_ES
d+12	FECHAS	1	0.5	1	d+12			D+12	d12	32198834_ES	32198834_ES	32198834_ES
cuarenta años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	40 año			cuarenta años	cuarenta anos	32267483_ES	32267483_ES	32267483_ES
covid-19	ID-SUJETO-ASISTENCIA	1	0.5	1	covid-19	840533007		COVID-19	covid19	32282871_ES	32282871_ES	32282871_ES
ciudad de la «zona roja»	CALLE	1	0.5	1	ciudad de el « zona rojo »			ciudad de la «zona roja»	ciudad de la zona roja	32275347_ES	32275347_ES	32275347_ES
cincuenta años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	50 año			cincuenta años	cincuenta anos	32247016_ES	32247016_ES	32247016_ES
california	TERRITORIO	1	0.5	1	california	224043007	C0006754	California	california	32585767_ES	32585767_ES	32585767_ES
bérgamo	TERRITORIO	1	0.5	1	bérgamo			Bérgamo	bergamo	32196627_ES	32196627_ES	32196627_ES
bolonia	TERRITORIO	1	0.5	1	bolonia			Bolonia	bolonia	32588185_ES	32588185_ES	32588185_ES
afrocaribeño	ID-SUJETO-ASISTENCIA	1	0.5	1	afrocaribeño	413465009	C0814949	afrocaribeño	afrocaribeno	32617903B_ES	32617903B_ES	32617903B_ES
abril de 2019	FECHAS	1	0.5	1	abril de 2019			abril de 2019	abril de 2019	32294258_ES	32294258_ES	32294258_ES
São paulo	TERRITORIO	1	0.5	1	são paular			São Paulo	Sao paulo	32267461_ES	32267461_ES	32267461_ES
San francisco	TERRITORIO	1	0.5	1	san francisco			San Francisco	San francisco	32318729_ES	32318729_ES	32318729_ES
San diego	TERRITORIO	1	0.5	1	san diego			San Diego	San diego	32651243_ES	32651243_ES	32651243_ES
94 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	94 año			94 años	94 anos	32282871_B_ES	32282871_B_ES	32282871_B_ES
92 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	92 año			92 años	92 anos	32399451_ES	32399451_ES	32399451_ES
90 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	90 año			90 años	90 anos	32638347B_ES	32638347B_ES	32638347B_ES
9 de febrero de 2020	FECHAS	1	0.5	1	9 de febrero de 2020			9 de febrero de 2020	9 de febrero de 2020	32165205_ES	32165205_ES	32165205_ES
9 de febrero	FECHAS	1	0.5	1	9 de febrero			9 de febrero	9 de febrero	32293714_ES	32293714_ES	32293714_ES
9 de covid	FECHAS	1	0.5	1	9 de covid			9 de covid	9 de covid	32637327B_ES	32637327B_ES	32637327B_ES
9 de abril	FECHAS	1	0.5	1	9 de abril			9 de abril	9 de abril	32614251_ES	32614251_ES	32614251_ES
9	FECHAS	1	0.5	1	9	36987007	C0205455	9	9	32594429_ES	32594429_ES	32594429_ES
88 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	88 año			88 años	88 anos	32360439-D_ES	32360439-D_ES	32360439-D_ES
86 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	86 año			86 años	86 anos	32612465A_ES	32612465A_ES	32612465A_ES
82 años	EDAD-SUJETO-ASISTENCIA	1	0.5	1	82 año			82 años	82 anos	32399449_ES	32399449_ES	32399449_ES
