span_lower	label	doc_freq	doc_perc(%)	term_freq	lemma	snomedid	umls_cui	original_span	span_normalized	filename
proteina creactiva	PROTEINAS	105	52.5	1	proteína creactiva			proteina C-reactiva	proteina creactiva	32638347C_ES, 32622819A_ES, 32294273_ES, 32427645_ES, 32267502_ES, 32215898_ES, 32265235_ES, 32267461_ES, 32282871_ES, 32612465A_ES, 32402687_ES, 32266524_ES, 32648092B_ES, 32363217_ES, 32294258_ES, 32606105_ES, 32618794_ES, 32594151_ES, 32622819B_ES, 32165205_ES, 32638890_ES, 32427161_ES, 32032497_ES, 32247016_ES, 32651243_ES, 32073161_ES, 32553608­B_ES, 32423738_ES, 32639064_ES, 32554621_ES, 32276139_C_ES, 32418288_ES, 32293714_ES, 32636116_ES, 32638347A_ES, 32602267_ES, 32292904_ES, 32640066_ES, 32267140_ES, 32276139_B_ES, 32639461_ES, 32586752_ES, 32635747_ES, 32615155_ES, 32247642_ES, 32584431_ES, 32554425_ES, 32275347_ES, 32363336-B_ES, 32644205_ES, 32617169_ES, 32119083_ES, 32278585_ES, 32554811_ES, 32329981_ES, 32589931_ES, 32588475_ES, 32612465B_ES, 32351657_ES, 32245909_ES, 32292915_ES, 32553608­_A_ES, 32208010_ES, 32417987_ES, 32648092A_ES, 32399451_ES, 32601756_ES, 32282312_ES, 32359711_ES, 32587121_ES, 32402687-B_ES, 32168162_ES, 32588185_ES, 32318729_ES, 32201125_ES, 32623310_ES, 32282871_B_ES, 32423911_ES, 32650881_ES, 32425356_ES, 32414534_ES, 32637086A_ES, 32612465C_ES, 32198834_ES, 32648092C_ES, 32232784_ES, 32637086B_ES, 32605766_ES, 32352487_ES, 32612465D_ES, 32360439_ES, 32594429_ES, 32653906_ES, 32294340_ES, 32606044_ES, 32556106_ES, 32179908_ES, 32250095_ES, 32638347B_ES, 32593338_ES, 32611659_ES, 32360439-C_ES, 32653960_ES, 32590204_ES, 32161941_ES
proteina amiloide A	PROTEINAS	1	0.5	1	proteína amiloide A			proteína amiloide A	proteína amiloide A	32032497_ES
proteina C reactiva	PROTEINAS	1	0.5	1	proteína C reactivo			proteína C reactiva	proteína C reactiva	32653210_ES
prohormona	PROTEINAS	1	0.5	1	prohormona	19163001	C0301817	prohormona	prohormona	32650881_ES
pns9div24	PROTEINAS	1	0.5	1	pns9div24			PNS9DIV-24	pns9div24	32651243_ES
peptido natriuretico de tipo B	PROTEINAS	1	0.5	1	péptido natriurético de tipo B			péptido natriurético de tipo B	péptido natriurético de tipo B	32618794_ES
orf1ab	PROTEINAS	1	0.5	1	orf1ab			ORF1ab	orf1ab	32636116_ES
moxifloxacino	PROTEINAS	1	0.5	1	moxifloxacino	412439003	C0536495	moxifloxacino	moxifloxacino	32282871_ES
microlitro	PROTEINAS	1	0.5	1	microlitro	258774008	C0439243	microlitro	microlitro	32412848_ES
mialgia	PROTEINAS	1	0.5	1	mialgia	68962001	C0231528	mialgia	mialgia	32635747_ES
